Farmer_ID,Farmer_Name,Location,Crop,Season,Quantity_Produced,Quantity_Sold,Market_Price,Date_of_Sale,Demand_Index,Recommended_Crop
F0001,Taimur S.,Gujarat,Sugarcane,Rabi,4994,4940,4,2022-05-07,5,Potato
F0002,Kiara C.,Madhya Pradesh,Onion,Kharif,1424,1233,16,2023-01-28,6,Onion
F0003,Anika G.,Punjab,Sugarcane,Kharif,2792,2654,4,2024-07-04,6,Bajra
F0004,Pranay S.,Madhya Pradesh,Potato,Kharif,1538,1438,16,2023-07-03,3,Onion
F0005,Siya B.,Uttar Pradesh,Onion,Kharif,3769,3626,11,2023-05-02,2,Soybean
F0006,Anaya T.,Bihar,Rice,Kharif,1241,1237,32,2023-03-10,6,Maize
F0007,Anvi D.,Maharashtra,Wheat,Rabi,1226,1026,24,2022-08-30,8,Sugarcane
F0008,Zain S.,Karnataka,Onion,Kharif,4624,4439,14,2024-07-18,10,Tomato
F0009,Uthkarsh A.,Madhya Pradesh,Wheat,Zaid,4894,4801,23,2022-06-22,8,Cotton
F0010,Yuvaan T.,Karnataka,Tomato,Kharif,3601,3484,9,2023-02-17,7,Tomato
F0011,Faiyaz R.,Punjab,Bajra,Rabi,2343,2270,18,2023-12-19,7,Wheat
F0012,Dhruv L.,Karnataka,Onion,Kharif,2185,2124,15,2022-09-22,8,Sugarcane
F0013,Jayesh T.,Karnataka,Groundnut,Rabi,3527,3512,62,2023-07-25,3,Cotton
F0014,Nakul Y.,Punjab,Cotton,Kharif,4138,4113,60,2024-02-27,5,Mustard
F0015,Trisha G.,Gujarat,Soybean,Zaid,1275,1148,47,2022-11-15,6,Maize
F0016,Alisha G.,Rajasthan,Onion,Rabi,2603,2413,20,2023-02-27,3,Sugarcane
F0017,Dhanush C.,Uttar Pradesh,Sugarcane,Zaid,2747,2648,4,2024-07-11,1,Tomato
F0018,Aarav E.,Gujarat,Groundnut,Zaid,2976,2895,54,2023-10-24,8,Soybean
F0019,Ishita B.,Punjab,Groundnut,Rabi,2502,2432,49,2022-11-22,6,Rice
F0020,Ira B.,Bihar,Maize,Zaid,1779,1743,26,2022-04-12,9,Sugarcane
F0021,Kabir S.,Bihar,Bajra,Rabi,2828,2783,21,2023-12-31,7,Sugarcane
F0022,Dharmajan S.,Gujarat,Onion,Zaid,1261,1194,26,2023-12-27,5,Mustard
F0023,Dharmajan A.,Madhya Pradesh,Mustard,Zaid,2447,2415,57,2022-04-12,9,Tomato
F0024,Anya S.,Maharashtra,Maize,Zaid,1584,1492,22,2022-06-27,6,Maize
F0025,Kaira G.,Uttar Pradesh,Onion,Rabi,4087,3963,23,2023-10-18,1,Bajra
F0026,Tanya R.,Rajasthan,Potato,Rabi,1950,1775,24,2024-02-23,10,Maize
F0027,Urvi D.,Madhya Pradesh,Potato,Zaid,3429,3288,17,2024-04-03,9,Onion
F0028,Yakshit D.,Punjab,Cotton,Rabi,3293,3193,73,2024-01-10,8,Potato
F0029,Lavanya B.,Punjab,Soybean,Rabi,2692,2539,45,2022-11-25,5,Wheat
F0030,Hansh V.,Gujarat,Groundnut,Kharif,3950,3846,59,2024-01-20,1,Sugarcane
F0031,Sana C.,Punjab,Onion,Kharif,4170,4142,14,2023-09-02,5,Sugarcane
F0032,Sahil B.,Uttar Pradesh,Soybean,Kharif,4931,4736,49,2022-08-20,4,Tomato
F0033,Miraya K.,Madhya Pradesh,Groundnut,Rabi,3186,3170,46,2022-07-21,7,Maize
F0034,Zain H.,Karnataka,Mustard,Zaid,1625,1579,49,2023-07-28,3,Groundnut
F0035,Ivan M.,Karnataka,Onion,Kharif,3069,2933,25,2022-12-27,4,Bajra
F0036,Kismat B.,Karnataka,Tomato,Rabi,834,701,16,2022-01-20,4,Rice
F0037,Darshit B.,Madhya Pradesh,Tomato,Zaid,3576,3494,18,2022-10-09,6,Soybean
F0038,Nishith S.,Uttar Pradesh,Groundnut,Zaid,3415,3255,55,2022-03-04,7,Sugarcane
F0039,Kimaya V.,Punjab,Groundnut,Rabi,807,700,45,2022-02-20,2,Potato
F0040,Aarush R.,Madhya Pradesh,Groundnut,Kharif,3011,2827,55,2023-11-13,10,Maize
F0041,Hiran G.,Uttar Pradesh,Wheat,Rabi,2717,2626,27,2022-10-01,4,Maize
F0042,Emir C.,Gujarat,Groundnut,Kharif,1589,1420,56,2022-06-06,10,Sugarcane
F0043,Saksham M.,Gujarat,Maize,Rabi,4635,4535,23,2022-10-21,8,Mustard
F0044,Hazel K.,Madhya Pradesh,Tomato,Rabi,1750,1629,18,2022-01-06,10,Cotton
F0045,Ahana  B.,Gujarat,Potato,Kharif,904,811,22,2022-01-08,9,Maize
F0046,Zeeshan S.,Bihar,Onion,Kharif,4643,4504,14,2024-01-13,10,Maize
F0047,Onkar D.,Madhya Pradesh,Wheat,Zaid,2824,2818,22,2022-01-09,5,Tomato
F0048,Ryan S.,Gujarat,Sugarcane,Kharif,826,803,3,2023-10-10,3,Sugarcane
F0049,Hridaan K.,Madhya Pradesh,Soybean,Rabi,2266,2202,43,2024-04-29,4,Cotton
F0050,Hazel B.,Rajasthan,Soybean,Kharif,1294,1163,48,2022-04-25,2,Bajra
F0051,Jhanvi J.,Maharashtra,Potato,Kharif,3810,3682,12,2022-06-16,4,Onion
F0052,Jhanvi G.,Maharashtra,Cotton,Zaid,1667,1520,70,2023-05-12,2,Sugarcane
F0053,Shaan B.,Bihar,Soybean,Kharif,3662,3525,54,2024-06-26,10,Potato
F0054,Jiya K.,Karnataka,Cotton,Kharif,3386,3352,67,2022-09-29,2,Cotton
F0055,Miraan A.,Maharashtra,Bajra,Rabi,1283,1137,23,2022-04-15,10,Potato
F0056,Shamik K.,Karnataka,Mustard,Rabi,1500,1467,60,2023-09-09,4,Onion
F0057,Saanvi C.,Rajasthan,Potato,Zaid,1459,1423,16,2022-01-09,8,Sugarcane
F0058,Tejas B.,Bihar,Maize,Zaid,4860,4731,24,2022-05-31,4,Groundnut
F0059,Sahil M.,Madhya Pradesh,Soybean,Kharif,1981,1854,51,2023-08-24,9,Bajra
F0060,Ehsaan R.,Karnataka,Cotton,Zaid,4274,4242,68,2023-06-16,3,Potato
F0061,Kanav G.,Gujarat,Rice,Rabi,1887,1836,35,2024-02-25,10,Wheat
F0062,Ehsaan M.,Maharashtra,Wheat,Zaid,1399,1232,25,2022-12-08,7,Maize
F0063,Nirvaan D.,Rajasthan,Cotton,Zaid,2333,2158,73,2023-03-31,3,Groundnut
F0064,Lavanya B.,Rajasthan,Tomato,Kharif,861,719,12,2023-07-16,6,Bajra
F0065,Anvi S.,Maharashtra,Sugarcane,Rabi,975,859,5,2024-03-15,4,Rice
F0066,Dishani C.,Uttar Pradesh,Bajra,Zaid,4829,4752,19,2024-05-28,2,Wheat
F0067,Samar I.,Karnataka,Bajra,Rabi,3132,3028,23,2022-11-10,7,Wheat
F0068,Alia R.,Karnataka,Cotton,Zaid,3272,3081,63,2022-11-02,4,Wheat
F0069,Ehsaan M.,Rajasthan,Rice,Kharif,2821,2739,33,2024-03-15,2,Potato
F0070,Rania K.,Bihar,Rice,Kharif,4150,4149,29,2023-01-20,10,Soybean
F0071,Misha R.,Punjab,Mustard,Kharif,2326,2300,47,2024-01-22,2,Cotton
F0072,Jayan K.,Madhya Pradesh,Bajra,Zaid,1269,1219,21,2022-01-18,10,Cotton
F0073,Aniruddh Z.,Madhya Pradesh,Onion,Rabi,3256,3244,21,2022-03-26,3,Wheat
F0074,Renee S.,Punjab,Groundnut,Kharif,2749,2717,63,2022-02-15,3,Tomato
F0075,Alia G.,Madhya Pradesh,Maize,Zaid,4357,4240,25,2023-04-24,6,Bajra
F0076,Jayant H.,Uttar Pradesh,Tomato,Kharif,1760,1561,12,2023-04-15,1,Mustard
F0077,Vidur V.,Rajasthan,Mustard,Rabi,3869,3777,58,2024-04-26,3,Groundnut
F0078,Jivika K.,Gujarat,Mustard,Rabi,851,771,50,2024-01-02,6,Tomato
F0079,Gatik D.,Bihar,Bajra,Kharif,1823,1657,19,2022-02-16,1,Bajra
F0080,Reyansh D.,Maharashtra,Soybean,Kharif,2952,2947,46,2024-02-10,9,Wheat
F0081,Aarush K.,Rajasthan,Soybean,Zaid,910,854,45,2022-04-04,3,Soybean
F0082,Kabir B.,Rajasthan,Mustard,Rabi,3841,3706,51,2024-03-08,7,Potato
F0083,Hridaan S.,Punjab,Maize,Zaid,994,958,19,2023-03-25,1,Maize
F0084,Pari B.,Madhya Pradesh,Potato,Zaid,1417,1361,22,2023-02-26,5,Soybean
F0085,Anahita D.,Karnataka,Groundnut,Rabi,1622,1491,50,2024-05-08,8,Mustard
F0086,Ivan S.,Karnataka,Groundnut,Rabi,4116,4059,55,2022-01-18,5,Maize
F0087,Heer S.,Maharashtra,Cotton,Kharif,1257,1197,75,2022-06-11,4,Wheat
F0088,Rasha L.,Maharashtra,Mustard,Kharif,2754,2705,51,2022-01-24,10,Soybean
F0089,Anay M.,Karnataka,Potato,Zaid,1824,1674,14,2022-07-30,2,Onion
F0090,Ivan M.,Karnataka,Tomato,Zaid,2985,2979,18,2023-08-03,3,Bajra
F0091,Anya D.,Maharashtra,Groundnut,Kharif,1949,1799,45,2022-02-06,2,Soybean
F0092,Saira S.,Maharashtra,Maize,Zaid,3628,3539,18,2022-04-19,6,Onion
F0093,Suhana K.,Uttar Pradesh,Groundnut,Rabi,4502,4429,54,2022-01-06,10,Wheat
F0094,Divit B.,Gujarat,Mustard,Kharif,3664,3653,46,2023-12-02,8,Maize
F0095,Piya C.,Madhya Pradesh,Tomato,Rabi,4883,4714,11,2022-04-19,4,Tomato
F0096,Vritika R.,Rajasthan,Mustard,Zaid,4673,4633,59,2022-03-12,8,Soybean
F0097,Veer B.,Rajasthan,Rice,Kharif,1849,1789,31,2023-07-13,2,Onion
F0098,Aniruddh J.,Punjab,Rice,Zaid,4730,4532,31,2022-12-22,8,Mustard
F0099,Jayant M.,Karnataka,Onion,Zaid,4141,4022,25,2022-10-10,5,Potato
F0100,Neysa B.,Gujarat,Wheat,Rabi,943,936,24,2022-10-19,4,Maize
F0101,Samaira H.,Bihar,Wheat,Zaid,2966,2965,27,2022-03-07,5,Potato
F0102,Samar M.,Karnataka,Bajra,Kharif,3822,3794,25,2022-08-31,5,Wheat
F0103,Tejas D.,Madhya Pradesh,Tomato,Zaid,3051,2941,18,2023-12-29,9,Maize
F0104,Hazel M.,Madhya Pradesh,Cotton,Kharif,2655,2528,72,2023-01-09,8,Rice
F0105,Rania C.,Bihar,Groundnut,Kharif,1176,1130,47,2024-01-21,1,Potato
F0106,Rohan R.,Gujarat,Rice,Rabi,3199,3006,28,2022-05-04,4,Onion
F0107,Rohan B.,Maharashtra,Tomato,Zaid,2995,2798,13,2022-02-01,3,Maize
F0108,Adira C.,Maharashtra,Groundnut,Zaid,4735,4608,56,2024-01-20,1,Tomato
